"quant","year","unit","season","area","iter","data"
"all",1990,"unique","1","unique","1",NA
"all",1991,"unique","1","unique","1",NA
"all",1992,"unique","1","unique","1",NA
"all",1993,"unique","1","unique","1",NA
"all",1994,"unique","1","unique","1",NA
"all",1995,"unique","1","unique","1",NA
"all",1996,"unique","1","unique","1",NA
"all",1997,"unique","1","unique","1",NA
"all",1998,"unique","1","unique","1",NA
"all",1999,"unique","1","unique","1",NA
"all",2000,"unique","1","unique","1",NA
"all",2001,"unique","1","unique","1",305.251747594119
"all",2002,"unique","1","unique","1",305.811872146119
"all",2003,"unique","1","unique","1",286.630699702815
"all",2004,"unique","1","unique","1",330.838342096471
"all",2005,"unique","1","unique","1",450.135503141415
"all",2006,"unique","1","unique","1",191.095890410959
"all",2007,"unique","1","unique","1",490.441458565467
"all",2008,"unique","1","unique","1",662.136735525532
"all",1990,"unique","2","unique","1",NA
"all",1991,"unique","2","unique","1",NA
"all",1992,"unique","2","unique","1",NA
"all",1993,"unique","2","unique","1",NA
"all",1994,"unique","2","unique","1",NA
"all",1995,"unique","2","unique","1",NA
"all",1996,"unique","2","unique","1",NA
"all",1997,"unique","2","unique","1",NA
"all",1998,"unique","2","unique","1",NA
"all",1999,"unique","2","unique","1",NA
"all",2000,"unique","2","unique","1",NA
"all",2001,"unique","2","unique","1",305.251747594119
"all",2002,"unique","2","unique","1",305.811872146119
"all",2003,"unique","2","unique","1",286.630699702815
"all",2004,"unique","2","unique","1",330.838342096471
"all",2005,"unique","2","unique","1",450.135503141415
"all",2006,"unique","2","unique","1",191.095890410959
"all",2007,"unique","2","unique","1",490.441458565467
"all",2008,"unique","2","unique","1",662.136735525532
"all",1990,"unique","3","unique","1",NA
"all",1991,"unique","3","unique","1",NA
"all",1992,"unique","3","unique","1",NA
"all",1993,"unique","3","unique","1",NA
"all",1994,"unique","3","unique","1",NA
"all",1995,"unique","3","unique","1",NA
"all",1996,"unique","3","unique","1",NA
"all",1997,"unique","3","unique","1",NA
"all",1998,"unique","3","unique","1",NA
"all",1999,"unique","3","unique","1",NA
"all",2000,"unique","3","unique","1",NA
"all",2001,"unique","3","unique","1",305.251747594119
"all",2002,"unique","3","unique","1",305.811872146119
"all",2003,"unique","3","unique","1",286.630699702815
"all",2004,"unique","3","unique","1",330.838342096471
"all",2005,"unique","3","unique","1",450.135503141415
"all",2006,"unique","3","unique","1",191.095890410959
"all",2007,"unique","3","unique","1",490.441458565467
"all",2008,"unique","3","unique","1",662.136735525532
"all",1990,"unique","4","unique","1",NA
"all",1991,"unique","4","unique","1",NA
"all",1992,"unique","4","unique","1",NA
"all",1993,"unique","4","unique","1",NA
"all",1994,"unique","4","unique","1",NA
"all",1995,"unique","4","unique","1",NA
"all",1996,"unique","4","unique","1",NA
"all",1997,"unique","4","unique","1",NA
"all",1998,"unique","4","unique","1",NA
"all",1999,"unique","4","unique","1",NA
"all",2000,"unique","4","unique","1",NA
"all",2001,"unique","4","unique","1",305.251747594119
"all",2002,"unique","4","unique","1",305.811872146119
"all",2003,"unique","4","unique","1",286.630699702815
"all",2004,"unique","4","unique","1",330.838342096471
"all",2005,"unique","4","unique","1",450.135503141415
"all",2006,"unique","4","unique","1",191.095890410959
"all",2007,"unique","4","unique","1",490.441458565467
"all",2008,"unique","4","unique","1",662.136735525532
