Indice;Liste;Espèce;Strate;Annee;Estimation;EcartType;CV
Biomass;L2;MULLSUR;Total;1997;188164.753267457;51174.9279278991;0.271968724425021
Biomass;L2;MULLSUR;Total;1998;116595.140851449;36859.9925333396;0.316136609674857
Biomass;L2;MULLSUR;Total;1999;117908.282238325;52469.2783051095;0.445000786281108
Biomass;L2;MULLSUR;Total;2000;232345.476532497;76791.5305006542;0.330505812493895
Biomass;L2;MULLSUR;Total;2001;1025351.88838567;508176.496508013;0.495611801435402
Biomass;L2;MULLSUR;Total;2002;275582.627898551;98285.9000618481;0.356647662486294
Biomass;L2;MULLSUR;Total;2003;1178844.40917503;432540.876544092;0.366919394262378
Biomass;L2;MULLSUR;Total;2004;756444.081095955;194245.319243309;0.256787413766106
Biomass;L2;MULLSUR;Total;2005;1345271.31606852;791727.453599952;0.588526228236048
Biomass;L2;MULLSUR;Total;2006;300872.557260179;82275.8474965228;0.273457467326855
Biomass;L2;MULLSUR;Total;2007;336002.514367561;112952.995128866;0.336167112741615
Biomass;L2;MULLSUR;Total;2008;756698.888401771;197753.597593107;0.261337238132838
Biomass;L2;MULLSUR;Total;2009;324394.883643892;134207.312829778;0.413715874067561
Biomass;L2;MULLSUR;Total;2010;354774.487410692;93031.7382386471;0.262227813836434
Biomass;L2;MULLSUR;Total;2011;648639.8629394;199863.300398897;0.308126761579513
Biomass;L2;MULLSUR;Total;2012;77729.2676811594;22036.148194878;0.283498723868966
Biomass;L2;MULLSUR;Total;2013;173458.364806763;49152.736546602;0.283369075924124
Biomass;L2;MULLSUR;Total;2014;115474.633737344;38232.4344316614;0.331089462631455
