stock,year,unit,season,area,iter,data
stk1,1990,unique,all,unique,1,441.1804431
stk1,1991,unique,all,unique,1,437.0666504
stk1,1992,unique,all,unique,1,652.4511396
stk1,1993,unique,all,unique,1,790.5241526
stk1,1994,unique,all,unique,1,882.9249869
stk1,1995,unique,all,unique,1,642.8253184
stk1,1996,unique,all,unique,1,791.3733023
stk1,1997,unique,all,unique,1,829.3195171
stk1,1998,unique,all,unique,1,530.7060242
stk1,1999,unique,all,unique,1,276.6095924
stk1,2000,unique,all,unique,1,293.576616
stk1,2001,unique,all,unique,1,214.5338765
stk1,2002,unique,all,unique,1,162.0791396
stk1,2003,unique,all,unique,1,205.7118702
stk1,2004,unique,all,unique,1,238.7021777
stk1,2005,unique,all,unique,1,317.585689
stk1,2006,unique,all,unique,1,348.7956223
stk1,2007,unique,all,unique,1,362.2933313
stk1,2008,unique,all,unique,1,416.7961678
stk1,2009,unique,all,unique,1,602.4434405
stk1,2010,unique,all,unique,1,270
stk1,2011,unique,all,unique,1,NA
stk1,2012,unique,all,unique,1,NA
stk1,2013,unique,all,unique,1,NA
stk1,2014,unique,all,unique,1,NA
stk1,2015,unique,all,unique,1,NA
stk1,2016,unique,all,unique,1,NA
stk1,2017,unique,all,unique,1,NA
stk1,2018,unique,all,unique,1,NA
stk1,2019,unique,all,unique,1,NA
stk1,2020,unique,all,unique,1,NA
stk1,2021,unique,all,unique,1,NA
stk1,2022,unique,all,unique,1,NA
stk1,2023,unique,all,unique,1,NA
stk1,2024,unique,all,unique,1,NA
stk1,2025,unique,all,unique,1,NA
stk1,1990,unique,all,unique,2,441.2302887
stk1,1991,unique,all,unique,2,436.921463
stk1,1992,unique,all,unique,2,652.3801951
stk1,1993,unique,all,unique,2,790.4571348
stk1,1994,unique,all,unique,2,882.9258959
stk1,1995,unique,all,unique,2,642.2396997
stk1,1996,unique,all,unique,2,790.7228471
stk1,1997,unique,all,unique,2,827.5427594
stk1,1998,unique,all,unique,2,529.6704512
stk1,1999,unique,all,unique,2,276.4676135
stk1,2000,unique,all,unique,2,293.5753141
stk1,2001,unique,all,unique,2,214.5060375
stk1,2002,unique,all,unique,2,162.1004522
stk1,2003,unique,all,unique,2,205.6953792
stk1,2004,unique,all,unique,2,238.6687775
stk1,2005,unique,all,unique,2,317.6340489
stk1,2006,unique,all,unique,2,348.7794529
stk1,2007,unique,all,unique,2,362.3098578
stk1,2008,unique,all,unique,2,416.8608855
stk1,2009,unique,all,unique,2,602.4336177
stk1,2010,unique,all,unique,2,270
stk1,2011,unique,all,unique,2,NA
stk1,2012,unique,all,unique,2,NA
stk1,2013,unique,all,unique,2,NA
stk1,2014,unique,all,unique,2,NA
stk1,2015,unique,all,unique,2,NA
stk1,2016,unique,all,unique,2,NA
stk1,2017,unique,all,unique,2,NA
stk1,2018,unique,all,unique,2,NA
stk1,2019,unique,all,unique,2,NA
stk1,2020,unique,all,unique,2,NA
stk1,2021,unique,all,unique,2,NA
stk1,2022,unique,all,unique,2,NA
stk1,2023,unique,all,unique,2,NA
stk1,2024,unique,all,unique,2,NA
stk1,2025,unique,all,unique,2,NA
stk1,1990,unique,all,unique,3,441.3277731
stk1,1991,unique,all,unique,3,437.1289439
stk1,1992,unique,all,unique,3,652.3897946
stk1,1993,unique,all,unique,3,790.4534155
stk1,1994,unique,all,unique,3,882.9266109
stk1,1995,unique,all,unique,3,642.5135483
stk1,1996,unique,all,unique,3,791.0750099
stk1,1997,unique,all,unique,3,828.9581786
stk1,1998,unique,all,unique,3,530.3798983
stk1,1999,unique,all,unique,3,276.408667
stk1,2000,unique,all,unique,3,293.4438407
stk1,2001,unique,all,unique,3,214.3883506
stk1,2002,unique,all,unique,3,162.0317286
stk1,2003,unique,all,unique,3,205.6398609
stk1,2004,unique,all,unique,3,238.7668888
stk1,2005,unique,all,unique,3,317.6563254
stk1,2006,unique,all,unique,3,348.8032283
stk1,2007,unique,all,unique,3,362.3222051
stk1,2008,unique,all,unique,3,416.8508892
stk1,2009,unique,all,unique,3,602.4243077
stk1,2010,unique,all,unique,3,270
stk1,2011,unique,all,unique,3,NA
stk1,2012,unique,all,unique,3,NA
stk1,2013,unique,all,unique,3,NA
stk1,2014,unique,all,unique,3,NA
stk1,2015,unique,all,unique,3,NA
stk1,2016,unique,all,unique,3,NA
stk1,2017,unique,all,unique,3,NA
stk1,2018,unique,all,unique,3,NA
stk1,2019,unique,all,unique,3,NA
stk1,2020,unique,all,unique,3,NA
stk1,2021,unique,all,unique,3,NA
stk1,2022,unique,all,unique,3,NA
stk1,2023,unique,all,unique,3,NA
stk1,2024,unique,all,unique,3,NA
stk1,2025,unique,all,unique,3,NA
