"stock","year","unit","season","area","iter","data"
"stk1",1990,"unique","all","unique","1",2.07332679262891e-05
"stk1",1991,"unique","all","unique","1",2.00612787380483e-05
"stk1",1992,"unique","all","unique","1",1.61103991030733e-05
"stk1",1993,"unique","all","unique","1",1.51247838128284e-05
"stk1",1994,"unique","all","unique","1",1.71048408063631e-05
"stk1",1995,"unique","all","unique","1",1.98728689382923e-05
"stk1",1996,"unique","all","unique","1",1.68010671436463e-05
"stk1",1997,"unique","all","unique","1",1.41126260310409e-05
"stk1",1998,"unique","all","unique","1",1.29065798784475e-05
"stk1",1999,"unique","all","unique","1",1.41598315445085e-05
"stk1",2000,"unique","all","unique","1",1.58610519127102e-05
"stk1",2001,"unique","all","unique","1",1.33095495704899e-05
"stk1",2002,"unique","all","unique","1",1.43747274831815e-05
"stk1",2003,"unique","all","unique","1",1.66114383841781e-05
"stk1",2004,"unique","all","unique","1",1.70759615583369e-05
"stk1",2005,"unique","all","unique","1",1.61423963035846e-05
"stk1",2006,"unique","all","unique","1",1.35490319317826e-05
"stk1",2007,"unique","all","unique","1",1.45486106608436e-05
"stk1",2008,"unique","all","unique","1",1.43448344035866e-05
"stk1",2009,"unique","all","unique","1",NA
"stk1",2010,"unique","all","unique","1",NA
"stk1",2011,"unique","all","unique","1",NA
"stk1",2012,"unique","all","unique","1",NA
"stk1",2013,"unique","all","unique","1",NA
"stk1",2014,"unique","all","unique","1",NA
"stk1",2015,"unique","all","unique","1",NA
"stk1",2016,"unique","all","unique","1",NA
"stk1",2017,"unique","all","unique","1",NA
"stk1",2018,"unique","all","unique","1",NA
"stk1",2019,"unique","all","unique","1",NA
"stk1",2020,"unique","all","unique","1",NA
"stk1",2021,"unique","all","unique","1",NA
"stk1",2022,"unique","all","unique","1",NA
"stk1",2023,"unique","all","unique","1",NA
"stk1",2024,"unique","all","unique","1",NA
"stk1",2025,"unique","all","unique","1",NA
